date,Norway,Norway_monthly
2020-01-01,89,
2020-01-02,0,
2020-01-03,0,
2020-01-04,0,
2020-01-05,0,0.0
2020-01-06,0,0.0
2020-01-07,0,0.0
2020-01-08,0,0.0
2020-01-09,100,0.0
2020-01-10,0,0.0
2020-01-11,35,0.0
2020-01-12,0,0.0
2020-01-13,0,0.0
2020-01-14,26,0.0
2020-01-15,0,0.0
2020-01-16,0,0.0
2020-01-17,0,0.0
2020-01-18,0,0.0
2020-01-19,0,0.0
2020-01-20,29,0.0
2020-01-21,0,0.0
2020-01-22,53,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,40,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,10,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,1.0
2020-02-10,0,1.0
2020-02-11,0,1.0
2020-02-12,10,1.0
2020-02-13,0,1.0
2020-02-14,0,1.0
2020-02-15,34,1.0
2020-02-16,14,1.0
2020-02-17,14,1.0
2020-02-18,10,1.0
2020-02-19,0,1.0
2020-02-20,7,1.0
2020-02-21,14,1.0
2020-02-22,15,1.0
2020-02-23,13,9.0
2020-02-24,46,9.0
2020-02-25,45,9.0
2020-02-26,81,9.0
2020-02-27,100,9.0
2020-02-28,67,9.0
2020-02-29,88,9.0
2020-03-01,14,11.0
2020-03-02,19,11.0
2020-03-03,18,11.0
2020-03-04,20,11.0
2020-03-05,17,11.0
2020-03-06,18,11.0
2020-03-07,17,11.0
2020-03-08,26,37.0
2020-03-09,27,37.0
2020-03-10,38,37.0
2020-03-11,61,37.0
2020-03-12,73,37.0
2020-03-13,73,37.0
2020-03-14,100,37.0
2020-03-15,82,43.0
2020-03-16,85,43.0
2020-03-17,68,43.0
2020-03-18,58,43.0
2020-03-19,55,43.0
2020-03-20,55,43.0
2020-03-21,66,43.0
2020-03-22,63,39.0
2020-03-23,63,39.0
2020-03-24,64,39.0
2020-03-25,53,39.0
2020-03-26,62,39.0
2020-03-27,50,39.0
2020-03-28,61,39.0
2020-03-29,63,36.0
2020-03-30,54,36.0
2020-03-31,49,36.0
2020-04-01,76,36.0
2020-04-02,77,36.0
2020-04-03,84,36.0
2020-04-04,96,36.0
2020-04-05,90,36.0
2020-04-06,100,36.0
2020-04-07,84,36.0
2020-04-08,74,36.0
2020-04-09,85,36.0
2020-04-10,72,36.0
2020-04-11,81,36.0
2020-04-12,57,31.0
2020-04-13,62,31.0
2020-04-14,73,31.0
2020-04-15,77,31.0
2020-04-16,74,31.0
2020-04-17,70,31.0
2020-04-18,70,31.0
2020-04-19,66,27.0
2020-04-20,73,27.0
2020-04-21,66,27.0
2020-04-22,66,27.0
2020-04-23,59,27.0
2020-04-24,55,27.0
2020-04-25,56,27.0
2020-04-26,85,28.0
2020-04-27,84,28.0
2020-04-28,62,28.0
2020-04-29,70,28.0
2020-04-30,58,28.0
2020-05-01,70,28.0
2020-05-02,45,28.0
2020-05-03,70,24.0
2020-05-04,100,24.0
2020-05-05,79,24.0
2020-05-06,79,24.0
2020-05-07,84,24.0
2020-05-08,70,24.0
2020-05-09,72,24.0
2020-05-10,76,23.0
2020-05-11,77,23.0
2020-05-12,82,23.0
2020-05-13,89,23.0
2020-05-14,76,23.0
2020-05-15,74,23.0
2020-05-16,59,23.0
2020-05-17,65,22.0
2020-05-18,97,22.0
2020-05-19,84,22.0
2020-05-20,86,22.0
